,time,max t2m,min t2m,rel. humidity,total precip.,total runoff,surf. moisture,max windgust,disaster_type,hdi_category
12,15,-0.08049841,0.003544894,0.3504596,-0.039622862,0.054849423,0.19384056,-0.12084138,Landslide,High sHDI
13,30,0.011012908,-0.115723364,0.3601284,0.09291249,0.15988055,0.15705073,-0.025090238,Landslide,High sHDI
14,45,-0.17658843,-0.061233796,0.35390386,0.11410841,0.28455108,0.3230422,-0.03547835,Landslide,High sHDI
15,60,0.020962914,-0.004886377,0.15579298,-0.011907786,-0.0052390127,0.018511888,0.110987626,Landslide,High sHDI
16,90,0.08046487,0.0670096,0.15144607,-0.056508273,0.03487018,0.17920673,0.02369709,Landslide,High sHDI
17,180,-0.038717892,0.0012259646,0.104115196,0.036160897,0.11072449,-0.006787186,-0.016329672,Landslide,High sHDI
18,365,0.120508574,-0.0981264,0.0818127,-0.016736323,0.04407285,0.10169907,-0.1352144,Landslide,High sHDI
0,-365,-0.030379357,0.07795897,-0.048931435,-0.0972051,-0.023102917,0.061075047,0.0019504292,Landslide,Very high sHDI
1,-180,-0.09223882,-0.11230725,0.28432962,-0.10084467,-0.087992,-0.10298289,-0.08921302,Landslide,Very high sHDI
2,-90,-0.2660887,-0.107610516,0.027205432,-0.1245609,-0.14189005,-0.04847266,-0.013772981,Landslide,Very high sHDI
3,-60,-0.17025803,0.17935096,0.023631992,0.08758017,-0.0984386,-0.0324765,-0.019522432,Landslide,Very high sHDI
4,-45,-0.06870233,0.0069694296,-0.17881893,0.008672508,0.062496845,0.18930948,0.17683385,Landslide,Very high sHDI
5,-30,-0.06504204,-0.07757509,-0.043947052,0.04196749,0.048717182,-0.019888012,0.06554741,Landslide,Very high sHDI
6,-15,-0.01599333,0.07764197,0.14070466,0.26472908,0.23363173,-0.042410735,0.23188943,Landslide,Very high sHDI
7,-7,0.034623813,-0.067931965,0.031856157,-0.14521237,-0.03383598,-0.026793832,-0.033250168,Landslide,Very high sHDI
8,-1,-0.14364061,0.20733285,0.6339387,0.7273589,0.52242076,0.47642162,0.27059656,Landslide,Very high sHDI
9,0,-0.46264306,0.12447038,0.7780299,1.2499129,0.8310773,0.82173693,0.3395413,Landslide,Very high sHDI
10,1,-0.39250526,-0.086678736,0.5346574,0.7799196,0.65704334,0.826576,0.33729282,Landslide,Very high sHDI
11,7,0.023692798,0.07745597,0.11951817,-0.13887353,0.10540863,0.09908107,-0.13752747,Landslide,Very high sHDI
12,15,-0.18252045,-0.059258338,0.14509664,0.096099414,0.10863256,0.066138424,-0.07398555,Landslide,Very high sHDI
13,30,-0.029888446,-0.15465246,-0.29009205,-0.0803927,0.29658207,-0.09902357,0.034277763,Landslide,Very high sHDI
14,45,-0.3191492,-0.21910965,0.058957074,0.14139698,0.20407774,0.10194795,0.13117863,Landslide,Very high sHDI
