case,odds_ratio,ci_low,ci_high,log_odds,ci_log_low,ci_log_high,disaster_type,pvalue,sHDI_category,deviation_category,npoints,impact,significance,alpha_sig
High sHDI - nat-average : Very high sHDI,0.2776975654714139,0.0716761591498546,1.2442162024303645,-1.2812226514654135,-2.6355970950399565,0.21850577538207158,Landslide,0.07400105529274777,High sHDI,nat-average,53,Likelihood affected,.,0.2
High sHDI - worse-off : Very high sHDI,3.3220506377459564,0.07845080272907097,22.428672565086664,1.200582254225426,-2.5452835674899776,3.110340165554208,Landslide,0.48339120495351434,High sHDI,worse-off,42,Likelihood affected,.,0.2
Low sHDI - better-off : Very high sHDI,0.6469129644174003,0.13564852843437414,3.080535105412086,-0.43554351529609714,-1.9976880881898236,1.1251033174186194,Landslide,0.5868273984963779,Low sHDI,better-off,57,Likelihood affected,.,0.2
Low sHDI - nat-average : Very high sHDI,2.5744414094746753,0.2874016543437608,12.872300931267082,0.9456325822239902,-1.2468745491124407,2.5550777881665767,Landslide,0.3128413546939978,Low sHDI,nat-average,76,Likelihood affected,.,0.2
Low sHDI - worse-off : Very high sHDI,1.4347305581291137,0.1250858435602163,7.5540965772569475,0.36097706721169254,-2.0787550289019374,2.022090009124735,Landslide,0.7308614302153122,Low sHDI,worse-off,63,Likelihood affected,.,0.2
Medium sHDI - better-off : Very high sHDI,0.12074615509854593,0.025374098728312162,0.5869517612896638,-2.114064828790405,-3.6740263603470407,-0.532812640913043,Landslide,0.007723245198370949,Medium sHDI,better-off,57,Likelihood affected, ** ,1
Medium sHDI - nat-average : Very high sHDI,0.6704299157946968,0.13068809742421716,3.1704834469133445,-0.39983610701110384,-2.0349417304084803,1.1538840831739192,Landslide,0.6260104371243627,Medium sHDI,nat-average,110,Likelihood affected,.,0.2
Medium sHDI - worse-off : Very high sHDI,0.6538147171315155,0.18465020417345882,2.959555777733814,-0.4249312748023425,-1.6892920319519324,1.0850391819836482,Landslide,0.545045021501451,Medium sHDI,worse-off,75,Likelihood affected,.,0.2
High sHDI - better-off : Very high sHDI,1.3814500544944408,0.5380151916091059,3.1152178076734574,0.32313371162930854,-0.619868482027368,1.1362990720015402,Storm,0.47413705514852167,High sHDI,better-off,533,Likelihood affected,.,0.2
High sHDI - nat-average : Very high sHDI,1.7967706949801545,0.8927958371658783,3.540398719178615,0.5859909953076827,-0.11339735003858827,1.2642393533394471,Storm,0.09205265230716753,High sHDI,nat-average,624,Likelihood affected,.,0.2
High sHDI - worse-off : Very high sHDI,2.2508680604350846,0.09751963056176767,6.747192524401564,0.811315946450671,-2.327701582149278,1.9091264960538836,Storm,0.3979686471926562,High sHDI,worse-off,456,Likelihood affected,.,0.2
Low sHDI - better-off : Very high sHDI,2.608754619721943,1.090860780759471,5.487148596960566,0.958872950264224,0.08696709170523277,1.702408739350481,Storm,0.01854891790855758,Low sHDI,better-off,504,Likelihood affected,* ,1
Low sHDI - nat-average : Very high sHDI,2.178704574504887,1.1085895100105907,4.2473819223218205,0.7787304682967681,0.10308849558336179,1.44630277484189,Storm,0.021434131901164753,Low sHDI,nat-average,591,Likelihood affected,* ,1
