case,odds_ratio,ci_low,ci_high,log_odds,ci_log_low,ci_log_high,disaster_type,pvalue,sHDI_category,deviation_category,npoints,impact,significance,alpha_sig
Medium sHDI - worse-off : Very high sHDI,0.8181173738808543,0.3319180635717292,1.5608784702136453,-0.20074946382103057,-1.1028671369956042,0.44524878469961265,All types,0.6099050313331589,Medium sHDI,worse-off,1036,Likelihood economic losses,.,0.2
High sHDI - better-off : Very high sHDI,0.239634105616028,0.08222027704357801,0.585787513365348,-1.4286420788973793,-2.498353327978091,-0.5347981603408657,Flood,0.0041371979183764274,High sHDI,better-off,329,Likelihood economic losses, ** ,1
High sHDI - nat-average : Very high sHDI,0.5351153622917141,0.2582936414191269,1.1456554883385646,-0.6252729248792329,-1.3536581962211827,0.13597695210098115,Flood,0.09979445757302072,High sHDI,nat-average,458,Likelihood economic losses,.,0.2
High sHDI - worse-off : Very high sHDI,1.3285826040300657,0.26458954210236685,3.632888820306379,0.2841126627040526,-1.3295755515050027,1.2900281500475272,Flood,0.6714997184876952,High sHDI,worse-off,304,Likelihood economic losses,.,0.2
Low sHDI - better-off : Very high sHDI,0.6311361078184028,0.1618465026215284,1.7211184141835651,-0.4602337379287772,-1.8211069076074688,0.542974320314807,Flood,0.449346273019873,Low sHDI,better-off,309,Likelihood economic losses,.,0.2
Low sHDI - nat-average : Very high sHDI,0.4727419348834509,0.2461887814290367,1.0204461954804818,-0.7492056315923705,-1.4016566331707312,0.02023997819382392,Flood,0.03507004283399481,Low sHDI,nat-average,385,Likelihood economic losses,* ,1
Low sHDI - worse-off : Very high sHDI,0.4676052382328186,0.20898680565270372,1.0467970128020192,-0.7601308470671184,-1.5654841598584694,0.04573503802249425,Flood,0.0628096543745579,Low sHDI,worse-off,362,Likelihood economic losses,.,0.2
Medium sHDI - better-off : Very high sHDI,1.1446130169201705,0.2624506523180197,3.3761850110213314,0.1350666033903433,-1.3376922057924623,1.216746377074956,Flood,0.8420071481281854,Medium sHDI,better-off,355,Likelihood economic losses,.,0.2
Medium sHDI - nat-average : Very high sHDI,0.4659527962539765,0.2480163954039219,0.9725490063766357,-0.7636709455795613,-1.3942604245026726,-0.027834812598113077,Flood,0.02752891600668593,Medium sHDI,nat-average,535,Likelihood economic losses,* ,1
Medium sHDI - worse-off : Very high sHDI,0.23402209955601833,0.08866873687356669,0.5685479851648556,-1.4523397255367654,-2.422847910942992,-0.5646695627311475,Flood,0.0021718607162438852,Medium sHDI,worse-off,380,Likelihood economic losses, ** ,1
High sHDI - better-off : Very high sHDI,0.39949323423681,0.07986764433675064,1.0033863802233267,-0.917558449496663,-2.5273844602056963,0.0033806593495493108,Storm,0.1356360013027016,High sHDI,better-off,503,Likelihood economic losses,.,0.2
High sHDI - nat-average : Very high sHDI,0.5438787943685012,0.1297991883376427,1.4330645818644048,-0.6090288614204648,-2.0417667279085654,0.3598152154260584,Storm,0.3246726879323274,High sHDI,nat-average,561,Likelihood economic losses,.,0.2
High sHDI - worse-off : Very high sHDI,0.46159886087867097,0.14288232166518372,1.044486247135874,-0.7730590315584694,-1.9457339129295257,0.043525134992302095,Storm,0.1276788654294035,High sHDI,worse-off,450,Likelihood economic losses,.,0.2
Low sHDI - better-off : Very high sHDI,0.44090032827818404,0.1940822854325307,0.9055775174449798,-0.8189364420547118,-1.639473058131644,-0.09918239798430328,Storm,0.038985454063870564,Low sHDI,better-off,459,Likelihood economic losses,* ,1
Low sHDI - nat-average : Very high sHDI,0.8791902067334152,0.37421725223273344,1.856338899948544,-0.12875401479300752,-0.9829187618951021,0.6186062146502483,Storm,0.7530922257222381,Low sHDI,nat-average,493,Likelihood economic losses,.,0.2
Low sHDI - worse-off : Very high sHDI,1.2889559416602279,0.3110126036816698,3.550163069105346,0.2538325431248146,-1.1679218413164516,1.2669935373915988,Storm,0.6924422778215331,Low sHDI,worse-off,468,Likelihood economic losses,.,0.2
Medium sHDI - better-off : Very high sHDI,0.16638747577865834,0.08605085502224974,0.32626516902515773,-1.793436019180893,-2.452816820031714,-1.1200448263298284,Storm,1.2917398555318532e-7,Medium sHDI,better-off,524,Likelihood economic losses, *** ,1
Medium sHDI - nat-average : Very high sHDI,0.33965107807246786,0.15894207589498976,0.6932068737881415,-1.0798364292810636,-1.8392154456834333,-0.3664268051654099,Storm,0.0036562858798251225,Medium sHDI,nat-average,632,Likelihood economic losses, ** ,1
Medium sHDI - worse-off : Very high sHDI,1.7740068519266206,0.5742197708786274,4.1384435527894965,0.5732407462962874,-0.5547430798457492,1.420319763716525,Storm,0.25866081217401304,Medium sHDI,worse-off,516,Likelihood economic losses,.,0.2
