case,odds_ratio,ci_low,ci_high,log_odds,ci_log_low,ci_log_high,disaster_type,pvalue,sHDI_category,npoints,impact,significance,alpha_sig
Low sHDI : Very high sHDI,2.510075994136417,1.4930918035434262,4.435841244610682,0.9203130292337404,0.4008490059790717,1.4897172808879962,Storm,9.332376791153546e-4,Low sHDI,776,Likelihood affected, *** ,1
Medium sHDI : Very high sHDI,2.2828784724726727,1.451332705482023,4.002042486173592,0.8254371346251931,0.3724822415410447,1.3868048523404704,Storm,0.0013521707076561333,Medium sHDI,990,Likelihood affected, ** ,1
High sHDI : Very high sHDI,0.6873268048183379,0.10797337834546279,49.527749240215364,-0.3749454014428865,-2.2258705790445177,3.9025331032137927,Cold wave,0.8481201230948693,High sHDI,68,Likelihood affected,.,0.8
Low sHDI : Very high sHDI,0.15096349437687456,0.014865155770251786,12.004637427510119,-1.8907172304891993,-4.208735343592578,2.4852930274270557,Cold wave,0.3493333816053967,Low sHDI,28,Likelihood affected,.,0.8
Medium sHDI : Very high sHDI,2.1004191225290154,0.36651446182982517,163.42068662996752,0.7421369069721824,-1.0037172991438186,5.096327775575244,Cold wave,0.7036197101174625,Medium sHDI,37,Likelihood affected,.,0.8
High sHDI : Very high sHDI,1.9847947942473152,0.16435693948924368,11.262003628822754,0.6855155305823185,-1.8057147559163758,2.421434549050698,Wildfire,0.5284966567344089,High sHDI,158,Likelihood affected,.,0.8
Low sHDI : Very high sHDI,0.4281045826953145,0.08568654600517271,2.1858720455851044,-0.8483877611575941,-2.457059455140426,0.7820148544570654,Wildfire,0.28883223059813495,Low sHDI,141,Likelihood affected,.,0.8
Medium sHDI : Very high sHDI,0.6584246312870038,0.14953200679787998,3.1897621737536417,-0.4179052194943121,-1.900244816772369,1.1599463603352453,Wildfire,0.5824973175755925,Medium sHDI,151,Likelihood affected,.,0.8
High sHDI : Very high sHDI,0.002275127834404401,9.929012967588096e-5,0.035764681699324806,-6.085719037210886,-9.21746439088799,-3.3307944172426094,Heat wave,1.7728164987789694e-4,High sHDI,28,Likelihood affected, *** ,1
Low sHDI : Very high sHDI,6.919660364144797e-4,3.3027898622216412e-6,0.009463264873607859,-7.2759736838769795,-12.620743033857515,-4.660337831399932,Heat wave,1.864476529169951e-4,Low sHDI,25,Likelihood affected, *** ,1
Medium sHDI : Very high sHDI,0.03547490160947666,6.393822351789992e-5,0.5260139257160295,-3.3389298294570957,-9.65759319829847,-0.642427591849574,Heat wave,0.24422467200061612,Medium sHDI,25,Likelihood affected,.,0.8
High sHDI : Very high sHDI,0.5080340523573353,0.21491915156655567,0.8966376152750548,-0.6772068014507336,-1.5374933608002759,-0.10910349490073151,Drought,0.06393814929572053,High sHDI,14,Likelihood affected,.,0.8
Low sHDI : Very high sHDI,3.973454276151678,2.862806128447261,5.446980544260489,1.3796358111346263,1.051802307597934,1.6950614265685546,Drought,7.533814680047245e-17,Low sHDI,66,Likelihood affected, *** ,1
Medium sHDI : Very high sHDI,2.1648883091742195,1.1714653843799225,3.719952939346445,0.7723687708277072,0.15825543041129528,1.313711017491713,Drought,0.008215184278019034,Medium sHDI,29,Likelihood affected, ** ,1
High sHDI : Very high sHDI,1.2677612835048178,0.564888152878933,3.130035073560211,0.2372525760713026,-0.5711275269385786,1.1410442100995706,All types,0.5971621392729389,High sHDI,2161,Likelihood fatalities,.,0.8
Low sHDI : Very high sHDI,1.9856481759964624,0.9138605062451585,4.733598415265176,0.6859453978634676,-0.09007733816324147,1.5546856775960205,All types,0.10931930706157919,Low sHDI,2623,Likelihood fatalities,.,0.8
Medium sHDI : Very high sHDI,1.575027024748033,0.7487176157107528,3.796923581958548,0.45427243070056944,-0.28939338162539424,1.33419115514736,All types,0.28617723070287643,Medium sHDI,3017,Likelihood fatalities,.,0.8
High sHDI : Very high sHDI,2.3918312426767168,1.0207524105553196,5.032963510313108,0.87205928287913,0.020540012767852674,1.6160089776811355,Flood,0.03137816107642436,High sHDI,898,Likelihood fatalities,* ,1
Low sHDI : Very high sHDI,2.9921348883641694,1.6667119607898895,5.638019644022729,1.0959871421054375,0.5108527998706507,1.7295328769041427,Flood,4.735070911099423e-4,Low sHDI,1260,Likelihood fatalities, *** ,1
Medium sHDI : Very high sHDI,3.0356422825320686,1.4514071778779272,6.316232052250212,1.1104230273385012,0.3725335533353584,1.8431228361000884,Flood,0.0037380074412429972,Medium sHDI,1359,Likelihood fatalities, ** ,1
