case,odds_ratio,ci_low,ci_high,log_odds,ci_log_low,ci_log_high,disaster_type,pvalue,natHDI_category,npoints,impact,significance,alpha_sig
High HDI : Very high HDI,1.7415419527420684,0.8014238338793414,4.0790586040030155,0.5547709005378181,-0.22136534091868157,1.405866227479827,Cold wave,0.1791559608302678,High HDI,148,Likelihood fatalities,.,0.8
Low HDI : Very high HDI,3.369356535208203,1.142515148628574,8.680347971441355,1.21472178702572,0.13323210289182066,2.1610616167444534,Cold wave,0.017051209915012862,Low HDI,103,Likelihood fatalities,* ,1
Medium HDI : Very high HDI,9.673784758650955,0.7221173498339546,35.49720603293366,2.269419624685722,-0.32556761890053576,3.5694539900864597,Cold wave,0.06417757120737463,Medium HDI,124,Likelihood fatalities,.,0.8
High HDI : Very high HDI,0.32342900102971506,0.09459102331413784,1.3139685897808824,-1.1287756604431718,-2.3581926983977963,0.27305201550036173,Wildfire,0.08876931167843773,High HDI,108,Likelihood fatalities,.,0.8
Low HDI : Very high HDI,0.7040565576876975,0.09686073380593514,3.4180882466960445,-0.35089658842641847,-2.3344810660917585,1.2290814025859906,Wildfire,0.6947295409706622,Low HDI,92,Likelihood fatalities,.,0.8
Medium HDI : Very high HDI,0.2628982141049473,0.06780477267249142,1.07252129940179,-1.335988340327772,-2.6911226931137078,0.07001223120492485,Wildfire,0.05887328779875721,Medium HDI,106,Likelihood fatalities,.,0.8
High HDI : Very high HDI,1.2496189627258514,0.049390651919127344,5.64742786192224,0.22283867502483753,-3.0079941051013,1.731200195825096,Heat wave,0.8704346645033111,High HDI,85,Likelihood fatalities,.,0.8
Low HDI : Very high HDI,0.21555239801089204,0.031397005469985174,0.7373303975641822,-1.5345512527713496,-3.461042757813594,-0.30471918661967917,Heat wave,0.03842857469521102,Low HDI,83,Likelihood fatalities,* ,1
Medium HDI : Very high HDI,0.5375286257177576,0.03133925880053073,2.085065329329828,-0.6207732632491143,-3.462883692604173,0.7348001877718042,Heat wave,0.5518866603920987,Medium HDI,83,Likelihood fatalities,.,0.8
High HDI : Very high HDI,0.44780399409775784,0.2785161203491441,0.7137046460428943,-0.8033996554786137,-1.2782793385282025,-0.33728606322821764,All types,9.439201587894524e-4,High HDI,1362,Likelihood economic damages, *** ,1
Low HDI : Very high HDI,0.6321597104546476,0.376590290834693,1.0371889569697084,-0.4586132103445859,-0.9765974441995143,0.036514127662434524,All types,0.080700948709428,Low HDI,1197,Likelihood economic damages,.,0.8
Medium HDI : Very high HDI,0.6531210585683155,0.4175268061534722,1.038711234515999,-0.42599277857510826,-0.8734065303967447,0.037980747132290646,All types,0.06484498376090872,Medium HDI,1731,Likelihood economic damages,.,0.8
High HDI : Very high HDI,0.5117764904980723,0.2700342946382441,1.012213888900295,-0.6698672912507785,-1.3092063108710794,0.012139901201720761,Flood,0.04862791985353063,High HDI,554,Likelihood economic damages,* ,1
Low HDI : Very high HDI,0.6868590679062346,0.2923516995714655,1.6228943024327898,-0.375626149134229,-1.2297977508953462,0.48421116160138405,Flood,0.3942097536171671,Low HDI,NA,Likelihood economic damages,.,0.8
Medium HDI : Very high HDI,0.4033158947977039,0.22343117961547784,0.7867336769490002,-0.9080351660329151,-1.4986518335295196,-0.23986549069613097,Flood,0.004214297348092086,Medium HDI,718,Likelihood economic damages, ** ,1
High HDI : Very high HDI,0.9767281329127727,0.0999582661907051,4.122669401897176,-0.023546932896464874,-2.3030025181967737,1.4165008666382117,Landslide,0.9790843982973,High HDI,24,Likelihood economic damages,.,0.8
Low HDI : Very high HDI,0.6340264587798434,0.17167102797667566,2.3668816430413315,-0.4556645923244766,-1.762175261619857,0.8615733263417897,Landslide,0.4783260088831936,Low HDI,NA,Likelihood economic damages,.,0.8
Medium HDI : Very high HDI,2.775797518345954,0.36169304156759863,12.166167467716168,1.0209380999071953,-1.0169593783412976,2.4986589410278546,Landslide,0.25023119382827996,Medium HDI,45,Likelihood economic damages,.,0.8
High HDI : Very high HDI,0.5055488043562276,0.18168537837339965,1.1705855542025165,-0.6821106984831746,-1.7054787780706127,0.15750409729184794,Storm,0.15206098763127734,High HDI,632,Likelihood economic damages,.,0.8
Low HDI : Very high HDI,0.6983089124460093,0.36416614275450127,1.3615099578518863,-0.35909370614985997,-1.0101450793419449,0.30859434698806454,Storm,0.2779573446820583,Low HDI,NA,Likelihood economic damages,.,0.8
Medium HDI : Very high HDI,0.669619900973257,0.33393842424854586,1.3475661075556182,-0.40104503955966797,-1.0967986615388485,0.298300082008119,Storm,0.25738928021788315,Medium HDI,817,Likelihood economic damages,.,0.8
High HDI : Very high HDI,0.22989846695972183,0.08592690577669837,0.5843815637805667,-1.4701175155270054,-2.4542582769554153,-0.5372011468643973,Wildfire,0.002518690554618008,High HDI,100,Likelihood economic damages, ** ,1
Low HDI : Very high HDI,0.031910790578115696,0.0069993316746861794,0.08937058596788952,-3.44481106375239,-4.961940609529687,-2.414963666959447,Wildfire,9.001077017004686e-7,Low HDI,NA,Likelihood economic damages, *** ,1
Medium HDI : Very high HDI,3.890684989178839,0.2849524436961852,14.793688742205452,1.35858523189157,-1.2554329768607815,2.694200653482768,Wildfire,0.17992647578293414,Medium HDI,100,Likelihood economic damages,.,0.8
High HDI : Very high HDI,1.2794548584820369,0.2240446458325749,7.685724126877148,0.2464340954029417,-1.4959099352344791,2.0393645985603053,Drought,0.7834890756322551,High HDI,24,Likelihood economic damages,.,0.8
Low HDI : Very high HDI,6.774158347333301,0.44901427805036687,47.94735319195366,1.9131151298727849,-0.8007005920787401,3.8701036004723033,Drought,0.092576257445133,Low HDI,NA,Likelihood economic damages,.,0.8
Medium HDI : Very high HDI,4.0949714808943645,0.422761024529113,27.867163075642356,1.4097597529082209,-0.8609482134142907,3.327449044983107,Drought,0.21503885552850896,Medium HDI,29,Likelihood economic damages,.,0.8
